"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","LatestGADate","FirstGADate","Support","EOLDate","Hide","Replace","ReplaceGuide","MSDocService","ServiceId","Notes"
"azure-core-amqp","","1.0.0-beta.10","AMQP","Other","core","NA","","client","true","","","","","","","","","","",""
"azure-security-attestation","1.1.0","","Attestation","Attestation","attestation","NA","","client","true","","02/08/2023","07/07/2022","","","","","","","",""
"azure-messaging-eventhubs-checkpointstore-blob","","1.0.0-beta.1","Azure Blob Storage Checkpoint Store","Event Hubs","eventhubs","NA","","client","true","","","","","","","","","","",""
"azure-core","1.13.0","","Core","Other","core","NA","","client","true","1.14.0-beta.1,08/01/2024","07/12/2024","06/04/2021","","","","","","","",""
"azure-messaging-eventhubs","","1.0.0-beta.9","Event Hubs","Event Hubs","eventhubs","NA","","client","true","","","","","","","","","","",""
"azure-identity","1.8.0","1.9.0-beta.2","Identity","Identity","identity","NA","","client","true","1.9.0,08/06/2024","","06/04/2021","","","","","","","",""
"azure-security-keyvault-administration","","4.0.0-beta.4","Key Vault - Administration","Key Vault","keyvault","NA","","client","true","4.0.0-beta.5,08/06/2024","","","","","","","","","",""
"azure-security-keyvault-certificates","4.2.1","4.3.0-beta.2","Key Vault - Certificates","Key Vault","keyvault","NA","","client","true","","","06/07/2022","","","","","","","",""
"azure-security-keyvault-keys","4.4.1","4.5.0-beta.2","Key Vault - Keys","Key Vault","keyvault","NA","","client","true","","","08/10/2021","","","","","","","",""
"azure-security-keyvault-secrets","4.2.1","4.3.0-beta.2","Key Vault - Secrets ","Key Vault","keyvault","NA","","client","true","","","06/07/2022","","","","","","","",""
"azure-storage-blobs","12.12.0","","Storage - Blobs","Storage","storage","NA","","client","true","","07/17/2024","06/08/2021","","","","","","","",""
"azure-storage-files-datalake","12.11.0","","Storage - Files Data Lake","Storage","storage","NA","","client","true","","07/17/2024","06/08/2021","","","","","","","",""
"azure-storage-files-shares","12.10.0","","Storage - Files Share","Storage","storage","NA","","client","true","","07/17/2024","06/08/2021","","","","","","","",""
"azure-storage-queues","12.3.0","","Storage - Queues","Storage","storage","NA","","client","true","","07/17/2024","04/05/2022","","","","","","","",""
"azure-data-tables","","1.0.0-beta.3","Tables","Tables","tables","NA","","client","true","1.0.0-beta.4,08/06/2024","","","","","","","","","",""
"azure-core-tracing-opentelemetry","","1.0.0-beta.4","Tracing","Other","core","NA","","client","true","","","","","","","","","","",""
"azure-storage-common","12.7.0","","Storage - Common","Storage","storage","NA","","compat","true","","07/17/2024","06/08/2021","","","","","","","",""
"azure-template","1.0.0","1.1.0-beta.3826333","","Template","template","NA","NA","client","true","","","","","","true","","","","",""
