"Package","GroupId","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","New","PlannedVersions","FirstGADate","Support","Hide","Replace","ReplaceGuide","MSDocService","Notes"
"azure-communication-chat","com.azure.android","1.0.1","1.1.0-beta.4","Communication Chat","Communication","communication","NA","NA","client","true","","06/15/2021","","","","","",""
"azure-communication-common","com.azure.android","1.0.2","","Communication Common","Communication","communication","NA","NA","client","true","","04/20/2021","","","","","",""
"azure-core","com.azure.android","","1.0.0-beta.10","Core","Core","core","NA","NA","client","true","","","","","","","",""
"azure-core-credential","com.azure.android","","1.0.0-beta.10","Core Credential","Core Credential","core","NA","NA","client","true","","","","","","","",""
"azure-core-http","com.azure.android","","1.0.0-beta.10","Core HTTP","Core HTTP","core","NA","NA","client","true","","","","","","","",""
"azure-core-http-httpurlconnection","com.azure.android","","1.0.0-beta.10","Core HTTP HttpUrlConnection","Core HTTP HttpUrlConnection","core","NA","NA","client","true","","","","","","","",""
"azure-core-http-okhttp","com.azure.android","","1.0.0-beta.10","Core HTTP OkHttp","Core HTTP OkHttp","core","NA","NA","client","true","","","","","","","",""
"azure-core-jackson","com.azure.android","","1.0.0-beta.10","Core Jackson","Core Jackson","core","NA","NA","client","true","","","","","","","",""
"azure-core-logging","com.azure.android","","1.0.0-beta.10","Core Logging","Core Logging","core","NA","NA","client","true","","","","","","","",""
"azure-core-rest","com.azure.android","","1.0.0-beta.10","Core REST","Core REST","core","NA","NA","client","true","","","","","","","",""
"azure-core-test","com.azure.android","","1.0.0-beta.10","Core Test","Core Test","core","NA","NA","client","true","","","","","","","",""
"azure-communication-ui","com.azure.android","","1.0.0-beta.1","azure-communication-ui","","NA","NA","NA","","false","","","","","","","",""
"azure-communication-calling","com.azure.android","2.0.0","2.1.0-beta.1","Communication Calling","Communication","NA","NA","NA","client","false","","","","","","","",""
"azure-sdk-template","com.azure.android","","1.0.0-beta.1","Template","Template","template","NA","NA","client","true","","","","true","","","",""
