"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-appconfiguration","1.1.1","","App Configuration","App Configuration","appconfiguration","","","client","",""
"azure-search-documents","11.0.0","11.1.0b3","Cognitive Search","Search","search","","","client","","Replaces: azure-search"
"azure-communication-administration","","1.0.0b2","Communication Administration","Communication","communication","","","client","",""
"azure-communication-chat","","1.0.0b2","Communication Chat","Communication","communication","","","client","",""
"azure-communication-sms","","1.0.0b3","Communication Sms","Communication","communication","","","client","",""
"azure-core","1.8.2","","Core","Core","core","","","client","",""
"azure-cosmos","4.2.0","","Cosmos","Cosmos","cosmos","","","client","",""
"azure-eventgrid","1.3.0","2.0.0b3","Event Grid","Event Grid","eventgrid","NA","","client","","Will be replaced by: azure-eventgrid 2.x"
"azure-eventhub","5.2.0","","Event Hubs","Event Hubs","eventhub","","","client","",""
"azure-eventhub-checkpointstoreblob","1.1.1","","Event Hubs - Azure Blob Storage Checkpoint Store","Event Hubs","eventhub","","","client","",""
"azure-eventhub-checkpointstoreblob-aio","1.1.1","","Event Hubs - Azure Blob Storage Checkpoint Store AIO","Event Hubs","eventhub","","","client","",""
"azure-ai-formrecognizer","3.0.0","","Form Recognizer","Form Recognizer","formrecognizer","","","client","","Replaces: azure-cognitiveservices-formrecognizer"
"azure-identity","1.4.1","1.5.0b2","Identity","Identity","identity","","","client","",""
"azure-keyvault-certificates","4.2.1","","Key Vault - Certificates","Key Vault","keyvault","","","client","",""
"azure-keyvault-keys","4.3.0","","Key Vault - Keys","Key Vault","keyvault","","","client","",""
"azure-keyvault-secrets","4.2.0","","Key Vault - Secrets","Key Vault","keyvault","","","client","",""
"azure-keyvault-administration","","4.0.0b2","Key Vault Administration","Key Vault","keyvault","","","client","",""
"azure-ai-metricsadvisor","","1.0.0b1","Metrics Advisor","Metrics Advisor","metricsadvisor","","","client","",""
"azure-schemaregistry","","1.0.0b1","Schema Registry","Schema Registry","schemaregistry","","","client","",""
"azure-schemaregistry-avroserializer","","1.0.0b1","Schema Registry Avro Serializer","Schema Registry","schemaregistry","","","client","",""
"azure-servicebus","0.50.3","7.0.0b7","Service Bus","Service Bus","servicebus","","","client","","Will be replaced by: azure-servicebus 7.x"
"azure-storage-blob","12.5.0","12.6.0b1","Storage - Blobs","Storage","storage","","","client","",""
"azure-storage-file-datalake","12.1.2","12.2.0b1","Storage - File Data Lake","Storage","storage","","","client","",""
"azure-storage-file-share","12.2.0","12.3.0b1","Storage - File Shares","Storage","storage","","","client","","Replaces: azure-storage-file 2.1.0"
"azure-storage-queue","12.1.3","","Storage - Queues","Storage","storage","","","client","",""
"azure-data-tables","","12.0.0b2","Tables","Tables","tables","","","client","",""
"azure-ai-textanalytics","5.0.0","5.1.0b1","Text Analytics","Text Analytics","textanalytics","","","client","","Replaces: azure-cognitiveservices-language-textanalytics"
"azure-mgmt-appconfiguration","1.0.1","","Resource Management - App Configuration","App Configuration","appconfiguration","","","mgmt","",""
"azure-mgmt-baremetalinfrastructure","","1.0.0b1","Resource Management - Bare Metal Infrastructure","Bare Metal","baremetalinfrastructure","NA","","mgmt","",""
"azure-mgmt-communication","","1.0.0b2","Resource Management - Communication Service","Communication","communication","","","mgmt","",""
"azure-mgmt-compute","17.0.0","","Resource Management - Compute","Compute","compute","","","mgmt","",""
"azure-mgmt-eventhub","8.0.0","","Resource Management - EventHub","EventHub","eventhub","","","mgmt","",""
"azure-mgmt-keyvault","8.0.0","","Resource Management - KeyVault","KeyVault","keyvault","","","mgmt","",""
"azure-mgmt-monitor","1.0.1","","Resource Management - Monitor","Monitor","monitor","","","mgmt","",""
"azure-mgmt-network","16.0.0","","Resource Management - Network","Network","network","","","mgmt","",""
"azure-mgmt-resource","15.0.0","","Resource Management - Resources","Resources","resources","","","mgmt","",""
"azure-mgmt-storage","16.0.0","","Resource Management - Storage","Storage","storage","","","mgmt","",""
"azure-mgmt-streamanalytics","","1.0.0rc1","Resource Management - Stream Analytics","Stream Analytics","streamanalytics","NA","","mgmt","",""
"azure","5.0.0","","azure","","NA","NA","NA","","true",""
"azure-ai-anomalydetector","","3.0.0b2","azure-ai-anomalydetector","Anomaly Detector","anomalydetector","","","","","Will replace: azure-cognitiveservices-anomalydetector"
"azure-ai-nspkg","1.0.0","","azure-ai-nspkg","Text Analytics","textanalytics","NA","NA","","",""
"azure-applicationinsights","0.1.0","","azure-applicationinsights","Application Insights","https://github.com/Azure/azure-sdk-for-python/tree/azure-applicationinsights_0.1.0/azure-applicationinsights","NA","","","",""
"azure-batch","9.0.0","","azure-batch","Batch","batch","https://docs.microsoft.com/python/api/overview/azure/batch","","","",""
"azure-cognitiveservices-anomalydetector","0.3.0","","azure-cognitiveservices-anomalydetector","Cognitive Services","cognitiveservices","","","","","Will be replaced by: azure-ai-anomalydetector"
"azure-cognitiveservices-formrecognizer","0.1.1","","azure-cognitiveservices-formrecognizer","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-formrecognizer","NA","","","","Replaced by: azure-ai-formrecognizer"
"azure-cognitiveservices-inkrecognizer","","1.0.0b1","azure-cognitiveservices-inkrecognizer","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-knowledge-nspkg","3.0.0","","azure-cognitiveservices-knowledge-nspkg","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-knowledge-nspkg/","NA","NA","","",""
"azure-cognitiveservices-knowledge-qnamaker","0.2.0","","azure-cognitiveservices-knowledge-qnamaker","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-language-luis","0.7.0","","azure-cognitiveservices-language-luis","Cognitive Services","cognitiveservices","","","","",""
"azure-cognitiveservices-language-nspkg","3.0.1","","azure-cognitiveservices-language-nspkg","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-language-nspkg/","NA","NA","","",""
"azure-cognitiveservices-language-spellcheck","2.0.0","","azure-cognitiveservices-language-spellcheck","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-language-textanalytics","0.2.0","","azure-cognitiveservices-language-textanalytics","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-language-textanalytics/","NA","","","","Replaced by: azure-ai-textanalytics"
"azure-cognitiveservices-nspkg","3.0.1","","azure-cognitiveservices-nspkg","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-nspkg/","NA","NA","","",""
"azure-cognitiveservices-personalizer","0.1.0","","azure-cognitiveservices-personalizer","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-autosuggest","0.2.0","","azure-cognitiveservices-search-autosuggest","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-customimagesearch","0.2.0","","azure-cognitiveservices-search-customimagesearch","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-customsearch","0.3.0","","azure-cognitiveservices-search-customsearch","Cognitive Services","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-entitysearch","2.0.0","","azure-cognitiveservices-search-entitysearch","Cognitive Services","cognitiveservices","NA","","","",""
